CarName,Type,AWD,FWD,ManPr,RetPr,Eng,Cyl,HP,CMpG,HMpG,Weight,WhlB,Length,Width
Chevrolet_Aveo_4dr,0,0,0,11690,10965,1.6,4,103,28,34,2370,98,167,66
Chevrolet_Aveo_LS_4dr_hatch,0,0,0,12585,11802,1.6,4,103,28,34,2348,98,153,66
Chevrolet_Cavalier_2dr,0,0,0,14610,13697,2.2,4,140,26,37,2617,104,183,69
Chevrolet_Cavalier_4dr,0,0,0,14810,13884,2.2,4,140,26,37,2676,104,183,68
Chevrolet_Cavalier_LS_2dr,0,0,0,16385,15357,2.2,4,140,26,37,2617,104,183,69
Dodge_Neon_SE_4dr,0,0,0,13670,12849,2.0,4,132,29,36,2581,105,174,67
Dodge_Neon_SXT_4dr,0,0,0,15040,14086,2.0,4,132,29,36,2626,105,174,67
Ford_Focus_ZX3_2dr_hatch,0,0,0,13270,12482,2.0,4,130,26,33,2612,103,168,67
Ford_Focus_LX_4dr,0,0,0,13730,12906,2.0,4,110,27,36,2606,103,168,67
Ford_Focus_SE_4dr,0,0,0,15460,14496,2.0,4,130,26,33,2606,103,168,67
Ford_Focus_ZX5_5dr,0,0,0,15580,14607,2.0,4,130,26,33,2691,103,168,67
Honda_Civic_DX_2dr,0,0,0,13270,12175,1.7,4,115,32,38,2432,103,175,67
Honda_Civic_HX_2dr,0,0,0,14170,12996,1.7,4,117,36,44,2500,103,175,67
Honda_Civic_LX_4dr,0,0,0,15850,14531,1.7,4,115,32,38,2513,103,175,68
Hyundai_Accent_2dr_hatch,0,0,0,10539,10107,1.6,4,103,29,33,2255,96,167,66
Hyundai_Accent_GL_4dr,0,0,0,11839,11116,1.6,4,103,29,33,2290,96,167,66
Hyundai_Accent_GT_2dr_hatch,0,0,0,11939,11209,1.6,4,103,29,33,2339,96,167,66
Hyundai_Elantra_GLS_4dr,0,0,0,13839,12781,2.0,4,138,26,34,2635,103,178,68
Hyundai_Elantra_GT_4dr,0,0,0,15389,14207,2.0,4,138,26,34,2635,103,178,68
Hyundai_Elantra_GT_4dr_hatch,0,0,0,15389,14207,2.0,4,138,26,34,2698,103,178,68
Kia_Optima_LX_4dr,0,0,0,16040,14910,2.4,4,138,23,30,3281,106,186,72
Kia_Rio_4dr_manual,0,0,0,10280,9875,1.6,4,104,26,33,2403,95,167,66
Kia_Rio_4dr_auto,0,0,0,11155,10705,1.6,4,104,25,32,2458,95,167,66
Kia_Spectra_4dr,0,0,0,12360,11630,1.8,4,124,24,32,2661,101,178,68
Kia_Spectra_GS_4dr_hatch,0,0,0,13580,12830,1.8,4,124,24,32,2686,101,178,68
Kia_Spectra_GSX_4dr_hatch,0,0,0,14630,13790,1.8,4,124,24,32,2697,101,178,68
Mazda3_i_4dr,0,0,0,15500,14525,2.0,4,148,-1,-1,2696,-1,-1,-1
Mini_Cooper,0,0,0,16999,15437,1.6,4,115,28,37,2524,97,143,67
Mitsubishi_Lancer_ES_4dr,0,0,0,14622,13751,2.0,4,120,-1,-1,2656,102,181,67
Mitsubishi_Lancer_LS_4dr,0,0,0,16722,15718,2.0,4,120,-1,-1,2795,102,181,67
Nissan_Sentra_1.8_4dr,0,0,0,12740,12205,1.8,4,126,28,35,2513,100,178,67
Nissan_Sentra_1.8_S_4dr,0,0,0,14740,13747,1.8,4,126,28,35,2581,100,178,67
Pontiac_Sunfire_1SA_2dr,0,0,0,15495,14375,2.2,4,140,24,33,2771,104,182,68
Saturn_Ion1_4dr,0,0,0,10995,10319,2.2,4,140,26,35,2692,103,185,67
Saturn_lon2_4dr,0,0,0,14300,13393,2.2,4,140,26,35,2692,103,185,67
Saturn_lon3_4dr,0,0,0,15825,14811,2.2,4,140,26,35,2692,103,185,67
Saturn_lon2_quad_coupe_2dr,0,0,0,14850,13904,2.2,4,140,26,35,2751,103,185,68
Saturn_lon3_quad_coupe_2dr,0,0,0,16350,15299,2.2,4,140,26,35,2751,103,185,68
Scion_xA_4dr_hatch,0,0,0,12965,12340,1.5,4,108,32,38,2340,93,154,67
Suzuki_Aeno_S_4dr,0,0,0,12884,12719,2.3,4,155,25,31,2676,98,171,68
Suzuki_Aerio_LX_4dr,0,0,0,14500,14317,2.3,4,155,25,31,2676,98,171,68
Suzuki_Forenza_S_4dr,0,0,0,12269,12116,2.0,4,119,24,31,2701,102,177,68
Suzuki_Forenza_EX_4dr,0,0,0,15568,15378,2.0,4,119,22,30,2756,102,177,68
Toyota_Corolla_CE_4dr,0,0,0,14085,13065,1.8,4,130,32,40,2502,102,178,67
Toyota_Corolla_S_4dr,0,0,0,15030,13650,1.8,4,130,32,40,2524,102,178,67
Toyota_Corolla_LE_4dr,0,0,0,15295,13889,1.8,4,130,32,40,2524,102,178,67
Toyota_Echo_2dr_manual,0,0,0,10760,10144,1.5,4,108,35,43,2035,93,163,65
Toyota_Echo_2dr_auto,0,0,0,11560,10896,1.5,4,108,33,39,2085,93,163,65
Toyota_Echo_4dr,0,0,0,11290,10642,1.5,4,108,35,43,2055,93,163,65
Buick_Century_Custom_4dr,0,0,0,22180,20351,3.1,6,175,20,30,3353,109,195,73
Chevrolet_Impala_4dr,0,0,0,21900,20095,3.4,6,180,21,32,3465,111,200,73
Chevrolet_Malibu_4dr,0,0,0,18995,17434,2.2,4,145,24,34,3174,106,188,70
Chevrolet_Malibu_LS_4dr,0,0,0,20370,18639,3.5,6,200,22,30,3297,106,188,70
Chevrolet_Monte_Carlo_LS_2dr,0,0,0,21825,20026,3.4,6,180,21,32,3340,111,198,73
Chrysler_PT_Cruiser_4dr,0,0,0,17985,16919,2.4,4,150,22,29,3101,103,169,67
Chrysler_PT_Cruiser_Limited_4dr,0,0,0,22000,20573,2.4,4,150,22,29,3105,103,169,67
Chrysler_Sebring_4dr,0,0,0,19090,17805,2.4,4,150,22,30,3173,108,191,71
Chrysler_Sebring_Touring_4dr,0,0,0,21840,20284,2.7,6,200,21,28,3222,108,191,71
Dodge_Intrepid_SE_4dr,0,0,0,22035,20502,2.7,6,200,21,29,3469,113,204,75
Dodge_Stratus_SXT_4dr,0,0,0,18820,17512,2.4,4,150,21,28,3182,108,191,71
Dodge_Stratus_SE_4dr,0,0,0,20220,18821,2.4,4,150,21,28,3175,108,191,71
Ford_Focus_SVT_2dr,0,0,0,19135,17878,2.0,4,170,21,28,2750,103,168,67
Ford_Taurus_LX_4dr,0,0,0,20320,18881,3.0,6,155,20,27,3306,109,198,73
Ford_Taurus_SES_Duratec_4dr,0,0,0,22735,20857,3.0,6,201,19,26,3313,109,198,73
Honda_Accord_LX_2dr,0,0,0,19860,17924,2.4,4,160,26,34,2994,105,188,71
Honda_Accord_EX_2dr,0,0,0,22260,20080,2.4,4,160,26,34,3047,105,188,71
Honda_Civic_EX_4dr,0,0,0,17750,16265,1.7,4,127,32,37,2601,103,175,68
Honda_Civic_Si_2dr_hatch,0,0,0,19490,17849,2.0,4,160,26,30,2782,101,166,67
Honda_Civic_Hybrid_4dr_manual(gas/electric),0,0,0,20140,18451,1.4,4,93,46,51,2732,103,175,68
Honda_Insight_2dr(gas/electric),0,0,0,19110,17911,2.0,3,73,60,66,1850,95,155,67
Hyundai_Sonata_GLS_4dr,0,0,0,19339,17574,2.7,6,170,19,27,3217,106,187,72
Hyundai_Sonata_LX_4dr,0,0,0,20339,18380,2.7,6,170,19,27,3217,106,187,72
Kia_Optima_LX_V6_4dr,0,0,0,18435,16850,2.7,6,170,20,27,3279,106,186,72
Mazda3_s_4dr,0,0,0,17200,15922,2.3,4,160,-1,-1,2762,-1,-1,-1
Mazda6_i_4dr,0,0,0,19270,17817,2.3,4,160,24,32,3042,105,187,70
Mercury_Sable_GS_4dr,0,0,0,21595,19848,3.0,6,155,20,27,3308,109,200,73
Mini_Cooper_S,0,0,0,19999,18137,1.6,4,163,25,34,2678,97,144,67
Mitsubishi_Galant_ES_2.4L_4dr,0,0,0,19312,17957,2.4,4,160,-1,-1,3351,108,191,72
Mitsubishi_Lancer_OZ_Rally_4dr_auto,0,0,0,17232,16196,2.0,4,120,-1,-1,2744,102,181,67
Nissan_Altima_S_4dr,0,0,0,19240,18030,2.5,4,175,21,26,3039,110,192,70
Nissan_Sentra_SE-R_4dr,0,0,0,17640,16444,2.5,4,165,23,28,2761,100,178,67
Oldsmobile_Alero_GX_2dr,0,0,0,18825,17642,2.2,4,140,24,32,2946,107,187,70
Pontiac_Grand_Am_GT_2dr,0,0,0,22450,20595,3.4,6,175,20,29,3118,107,186,70
Pontiac_Grand_Prix_GT1_4dr,0,0,0,22395,20545,3.8,6,200,20,30,3477,111,198,74
Pontiac_Sunfire_1SC_2dr,0,0,0,17735,16369,2.2,4,140,24,33,2771,104,182,68
Saturn_L300-2_4dr,0,0,0,21410,19801,3.0,6,182,20,28,3197,107,190,69
Subaru_Impreza_2.5_RS_4dr,0,1,0,19945,18399,2.5,4,165,22,28,2965,99,174,69
