territory	total(sqkm)	total(sqmi)	land(sqkm)	land(sqmi)	water(sqkm)	water(sqmi)	water
Russia	17098242	6601668	16377742	6323482	720500	278200	4.21
Antarctica	14000000	5400000	14000000	5400000	0	0	0
Canada	9984670	3855100	9093507	3511023	891163	344080	8.93
UnitedStates	9826675	3794100	9161966	3537455	664709	256646	6.76
China	9596961	3705407	9569901	3694959	27060	10450	0.28
Brazil	8514877	3287612	8459417	3266199	55460	21410	0.65
Australia	7741220	2988900	7682300	2966200	58920	22750	0.76
India	3287263	1269219	2973193	1147956	314070	121260	9.55
Argentina	2780400	1073500	2736690	1056640	43710	16880	1.57
Kazakhstan	2724900	1052100	2699700	1042400	25200	9700	0.92
Algeria	2381741	919595	2381741	919595	0	0	0
DemocraticRepublicoftheCongo	2344858	905355	2267048	875312	77810	30040	3.32
Greenland	2166086	836330	2166086	836330	0	0	81.05
SaudiArabia	2149690	830000	2149690	830000	0	0	0
Mexico	1964375	758449	1943945	750561	20430	7890	1.04
Indonesia	1904569	735358	1811569	699451	93000	36000	4.88
Libya	1759540	679360	1759540	679360	0	0	0
Iran	1648195	636372	1531595	591352	116600	45000	7.07
Mongolia	1564116	603909	1553556	599831	10560	4080	0.68
Peru	1285216	496225	1279996	494209	5220	2020	0.41
Chad	1284000	496000	1259200	486200	24800	9600	1.93
Niger	1267000	489000	1266700	489100	300	120	0.02
Angola	1246700	481400	1246700	481400	0	0	0
Mali	1240192	478841	1220190	471120	20002	7723	1.61
SouthAfrica	1219090	470690	1214470	468910	4620	1780	0.38
Colombia	1138910	439740	1038700	401000	100210	38690	8.8
Ethiopia	1104300	426400	1000000	390000	104300	40300	9.44
Bolivia	1098581	424164	1083301	418265	15280	5900	1.39
Mauritania	1030700	398000	1030700	398000	0	0	0
Egypt	1001450	386660	995450	384350	6000	2300	0.6
Tanzania	947300	365800	885800	342000	61500	23700	6.49
Nigeria	923768	356669	910768	351649	13000	5000	1.41
Venezuela	912050	352140	882050	340560	30000	12000	3.29
Namibia	824292	318261	823290	317870	1002	387	0.12
Mozambique	799380	308640	786380	303620	13000	5000	1.63
Pakistan	796095	307374	770876	297637	25220	9740	3.17
Turkey	783562	302535	769632	297157	13930	5380	1.78
Chile	756102	291933	743812	287187	12290	4750	1.63
Zambia	752618	290587	743398	287028	9220	3560	1.23
Burma	676578	261228	653508	252321	23070	8910	3.41
Afghanistan	652230	251830	652230	251830	0	0	0
France	643801	248573	640427	247270	3374	1303	0.52
Somalia	637657	246201	627337	242216	10320	3980	1.62
