norm,unif,tri,skew
5.49,2.85,1,4.61
5.35,2.6,0.83,5.08
0.63,2.66,0.92,2.1
5.79,2.24,1.03,1.22
6.89,3.91,1.35,1.93
6.28,3.12,1.32,2.25
6.38,3.74,1.42,2.81
3.57,3.24,1.15,0.3
5.16,2.35,1.24,2.09
6.68,2.1,0.62,7.52
7.66,3.2,1,7.72
6.47,2.1,0.78,1.21
2.9,2.29,0.65,3.96
2.64,3.61,1.31,1.72
6.54,3.08,0.61,2.47
4.08,3.82,1.45,3.4
5.34,3.62,1.05,2.24
2.06,3.61,0.85,2.31
6.58,2.35,1.13,3.5
3.5,2.35,1.5,2.1
4.48,3.5,1.01,7.89
6.81,2.04,0.59,0.34
3.95,3.26,1.58,2.4
5.96,3.5,0.69,2.93
6.32,2.84,1.09,5.18
7.15,3.28,1.45,2.72
6.4,3.43,1.11,0.52
6.14,2.07,0.67,3.08
5.83,3.24,1.77,2.7
4.84,3.74,1.19,5.54
3.52,3.44,1.08,4.21
3.34,2.1,1.36,6.18
5.81,3.41,0.07,4.39
4.58,3.29,0.52,4.32
4.63,3.65,0.28,3.44
4.79,2.97,1.17,3.79
6.84,3.48,0.6,4.19
7.09,3.14,1.54,4.78
7.64,3.25,1.02,1.99
7.79,3.89,0.37,1.68
3.27,3.37,0.1,4.12
6.71,2.4,0.82,4.08
1.81,3.72,0.35,1.82
6.63,2.51,0.89,1.29
5.73,3.9,0.37,5.88
7.13,2.39,0.82,3.89
7.29,3.58,0.67,0.41
8.76,3.14,0.54,1.74
8.46,3.43,0.2,0.31
4.43,2.85,0.95,4.28
4.03,3.05,1.1,1.56
2.73,3.65,1.8,0.74
2.19,3.15,1.16,2.69
3.32,3.96,1.39,3.14
4.66,2.28,0.73,3.45
1.65,2.97,1.1,1.34
3.38,4,1.32,0.48
4.51,2.13,0.45,1.74
9.86,3.72,1.13,2.06
6.12,3.57,0.99,3.83
4.41,2.36,0.38,2.86
4.97,2.21,1.03,5.95
7.04,3.91,0.68,1.74
4.04,3.04,0.3,4.94
5.52,2.52,1.38,2.31
