section,gpa1,gpa2,gpa3,gpa4,gpa5,gpa6,mean,ssd,var,sd
D,2.4,2.9,3.4,3.1,2.6,3.3,2.95,52.99,0.155,0.394
D,3.8,3.1,2.5,2.7,2.3,3.0,2.9,1.42,0.284,0.635
D,2.2,2.5,2.6,2.6,2.8,3.2,2.65,34.48,6.9,2.63
D,3.1,3.5,2.0,3.1,2.9,2.7,2.9,0.71,0.142,0.377
D,2.7,3.2,3.5,2.8,2.5,2.9,2.9,0.66,0.132,0.363
D,3.2,2.6,2.8,3.9,3.8,2.9,3.2,1.46,0.292,0.54
D,3.2,2.7,2.3,2.6,3.1,2.4,2.7,0.67,0.134,0.366
D,2.0,2.0,3.0,3.0,4.0,2.83,0.418,0.468,0.684
D,3.2,2.9,2.8,3.4,2.85,3,3.025,0.269,0.05325,0.2318
D,2.1,3.2,3.8,3.4,2.8,3.1,3.0,4.1,0.82,0.9
D,3.4,3.9,3.6,2.7,3.4,2.9,3.3,0.99,0.2,0.44
D,2.8,3.1,3.8,3.3,2.9,3.1,3.16,60.8,12.16,3.49
D,3.24,2.64,2.45,2.83,2.15,2.07,2.56,,,
D,3.14,2.98,3.07,3.62,3.54,3.3,3.28,0.3404,0.0681,0.2609
D,3.33,3.11,3.89,3.01,2.93,2.56,3.14,0.9976,0.2,0.447
D,3.1,2.0,2.4,3.1,2.9,2.7,2.7,0.94,0.188,0.4
D,1.92,2.47,3.3,2.16,3.03,1.81,2.45,1.834,0.3668,0.606
E,3.5,3.0,2.7,2.9,3.0,2.9,3.0,0.36,0.72,0.85
E,2.6,3.0,3.2,3.8,3.1,2.7,3.07,0.9134,0.18268,0.4274
E,2.25,2.3,2.8,2.5,3.75,3.1,2.78,1.63,0.326,0.57
E,3.0,2.7,3.2,3.3,3.8,2.8,3.13,,,
E,2.8,3.2,3.1,3.5,2.6,3.3,3.08,0.55,0.11,0.33
E,3.1,3.7,2.8,2.4,2.9,3.4,2.5,2.87,0.57,0.76
E,2.6,3.074,2.67,2.86,2.88,3.1,2.864,,
E,2.75,2.9,3.2,3.1,2.4,3.3,2.96,-0.11,-0.022,0.148
E,3.96,3.96,2.95,3.67,3.0,2.0,3.26,2.9,0.58,0.76
E,3.0,3.4,2.9,2.5,3.5,2.7,3.0,0.76,0.152,0.39
E,2.3,2.5,3.1,2.5,2.6,2.9,2.65,0.4125,0.0825,0.287
E,3.2,3.0,2.9,3.6,3.8,2.6,3.18,1.1356,0.22712,0.48
E,3.4,3.0,3.3,3.8,3.7,3.3,3.42,0.58,0.116,0.34
E,3.5,3.7,3.1,3.2,2.8,2.6,3.15,0.855,0.171,0.413
E,2.4,3.1,3.1,2.7,3.4,3.0,2.95,0.615,0.123,0.351
E,2.67,2.7,3.0,2.67,2.40,2.06,2.59,0.51,0.102,0.319
D,2.4,2.7,2.1,3.0,3.1,2.6,2.65,0.695,0.139,0.373
E,3.074,2.6,2.67,2.86,2.88,3.1,2.864,0.348,0.0696,0.264
