Country	 Gold	 Silver	 Bronze	Total
USA	36	38	36	110
China	51	21	28	100
Russia	23	21	28	72
Britain	19	13	15	47
Australia	14	15	17	46
Germany	16	10	15	41
France	7	16	17	40
South Korea	13	10	8	31
Italy	8	10	10	28
Ukraine	7	5	15	27
Japan	9	6	10	25
Cuba	2	11	11	24
Belarus	4	5	10	19
Spain	5	10	3	18
Canada	3	9	6	18
Netherlands	7	5	4	16
Brazil	3	4	8	15
Kenya	5	5	4	14
Kazakhstan	2	4	7	13
Jamaica	6	3	2	11
Poland	3	6	1	10
Hungary	3	5	2	10
Norway	3	5	2	10
New Zealand	3	1	5	9
Romania	4	1	3	8
Turkey	1	4	3	8
Ethiopia	4	1	2	7
Denmark	2	2	3	7
Azerbaijan	1	2	4	7
Czech Republic	3	3	0	6
Slovakia	3	2	1	6
Georgia	3	0	3	6
North Korea	2	1	3	6
Argentina	2	0	4	6
Switzerland	2	0	4	6
Uzbekistan	1	2	3	6
Armenia	0	0	6	6
Slovenia	1	2	2	5
Bulgaria	1	1	3	5
Indonesia	1	1	3	5
Sweden	0	4	1	5
Croatia	0	2	3	5
Lithuania	0	2	3	5
Mongolia	2	2	0	4
Thailand	2	2	0	4
Zimbabwe	1	3	0	4
Finland	1	1	2	4
Greece	0	2	2	4
Nigeria	0	1	3	4
Taiwan	0	0	4	4
Mexico	2	0	1	3
Latvia	1	1	1	3
India	1	0	2	3
Austria	0	1	2	3
Ireland	0	1	2	3
Serbia	0	1	2	3
Belgium	1	1	0	2
Dominican Republic	1	1	0	2
Estonia	1	1	0	2
Portugal	1	1	0	2
Iran	1	0	1	2
Trinidad and Tobago	0	2	0	2
Algeria	0	1	1	2
Bahamas	0	1	1	2
Colombia	0	1	1	2
Kyrgyzstan	0	1	1	2
Morocco	0	1	1	2
Tajikistan	0	1	1	2
Bahrain	1	0	0	1
Cameroon	1	0	0	1
Panama	1	0	0	1
Tunisia	1	0	0	1
Chile	0	1	0	1
Ecuador	0	1	0	1
Iceland	0	1	0	1
Malaysia	0	1	0	1
Singapore	0	1	0	1
South Africa	0	1	0	1
Sudan	0	1	0	1
Vietnam	0	1	0	1
Afghanistan	0	0	1	1
Egypt	0	0	1	1
Israel	0	0	1	1
Mauritius	0	0	1	1
Moldova	0	0	1	1
Togo	0	0	1	1
Venezuela	0	0	1	1
