Country	Mortality	Literacy	Region
Bolivia	160	71	SouthAmerica
Peru	116	79	SouthAmerica
Guatemala	94	47	SouthAmerica
ElSalvador	87	70	SouthAmerica
Honduras	84	71	SouthAmerica
Ecuador	83	84	SouthAmerica
Brazil	83	80	SouthAmerica
Nicaragua	78	-1	SouthAmerica
Paraguay	60	88	SouthAmerica
Colombia	50	86	SouthAmerica
Venezuela	43	90	SouthAmerica
Argentina	35	95	SouthAmerica
Panama	31	88	SouthAmerica
Chile	27	93	SouthAmerica
Uruguay	25	96	SouthAmerica
CostaRica	22	93	SouthAmerica
Yemen	187	21	MiddleEast
SaudiArabia	91	48	MiddleEast
Iraq	86	49	MiddleEast
Syria	59	51	MiddleEast
Iran	59	43	MiddleEast
Lebanon	56	73	MiddleEast
Jordan	52	70	MiddleEast
Oman	49	-1	MiddleEast
UnitedArabEmirates	30	38	MiddleEast
Kuwait	19	67	MiddleEast
Israel	11	-1	MiddleEast
