territory,population,area
Russia,143.5,6323.482
Canada,35.158304,3511.023
United States,316.783,3536.290
China,1360.27,3694.959
Brazil,201.032714,3266.199
Australia,23.202302,2966.200
India,1234.64,1148.080
Argentina,40.117096,1056.640
Kazakhstan,17.053,1042.400
Algeria,37.9,919.595
Saudi Arabia,29.195895,830
Mexico,118.395054,750.561
Indonesia,237.641326,699.451
Libya,6.202,679.360
Iran,76.947,591.352
Mongolia,2.754685,599.831
Egypt,83.661,384.350
Pakistan,184.406,330.771
Turkey,75.627384,297.157
Chile,16.634603,287.187
Afghanistan,25.5001,251.830
France,65.776,242.216
Ukraine,45.469812,223.680
Spain,46.704314,192.660
Sweden,9.606522,158.431
Japan,127.27,140.728
Germany,80.523700,134.623
United Kingdom,63.705,93.410
