Team First Last             Ag    G   AB    R    H  2B 3B  HR  RBI  BB   SO    BA   OBP   SLG  SB  CS GDP HBP  SH  SF IBB  OPS
 ARI Chris Snyder           26  110  326   37   82  20  0  13   47  40   67  .252  .342  .433   0   1   9   7   3   4   3   94
 ARI Conor Jackson          25  130  415   56  118  29  1  15   60  53   50  .284  .368  .467   2   2   8   4   2   3   2  110
 ARI Orlando Hudson         29  139  517   69  152  28  9  10   63  70   87  .294  .376  .441  10   2  21   2   5   7   1  106
 ARI Mark Reynolds          23  111  366   62  102  20  4  17   62  37  129  .279  .349  .495   0   1   5   5   1   5   4  110
 ARI Stephen Drew           24  150  543   60  129  28  4  12   60  60  100  .238  .313  .370   9   0   4   3   5   8   5   72
 ARI Eric Byrnes            31  160  626  103  179  30  8  21   83  57   98  .286  .353  .460  50   7  12  10   1   4   5  104
 ARI Chris Young            23  148  569   85  135  29  3  32   68  43  141  .237  .295  .467  27   6   5   6   1   5   1   89
 ARI Carlos Quentin         24   81  229   29   49  16  0   5   31  18   54  .214  .298  .349   2   2   5  11   1   4   1   63
 ARI Chad Tracy             27   76  227   30   60  18  2   7   35  29   43  .264  .346  .454   0   0   8   1   0   3   4  100
 ARI Tony Clark             35  113  221   31   55   5  1  17   51  21   59  .249  .310  .511   0   0   8   0   0   3   3  103
 ARI Miguel Montero         23   84  214   30   48   7  0  10   37  20   35  .224  .292  .397   0   0   7   3   1   6   2   72
 ARI Scott Hairston         27   76  176   21   39  13  1   3   16  19   37  .222  .301  .358   2   0   4   1   3   0   0   66
 ARI Alberto Callaspo       24   56  144   10   31   8  0   0    7   9   14  .215  .265  .271   1   1   8   1   1   1   0   36
 ARI Justin Upton           19   43  140   17   31   8  3   2   11  11   37  .221  .283  .364   2   0   3   1   0   0   4   62
 ARI Augie Ojeda            32   57  113   16   31   2  2   1   12  15   13  .274  .354  .354   1   0   1   0   2   2   3   80
 ARI Jeff Salazar           26   38   94   13   26   6  1   1   10   9   19  .277  .340  .394   2   0   1   0   0   0   0   85
 ARI Robby Hammock          30   34   45    5   11   2  0   0    0   3    7  .244  .306  .289   0   0   3   1   0   0   0   52
 ARI Jeff Cirillo           37   28   40    6    8   4  0   0    6   4    6  .200  .273  .300   0   0   1   0   0   0   0   45
 ARI Jeff Davanon           33   13   26    5    4   2  0   0    1   5    8  .154  .303  .231   1   1   1   1   0   1   0   38
 ARI Emilio Bonifacio       22   11   23    2    5   1  0   0    2   4    3  .217  .333  .261   0   1   0   0   0   0   0   54
 ARI Brian Barden           26    8   12    0    1   0  0   0    0   0    3  .083  .083  .083   0   0   0   0   0   0   0  -58
 ARI Jason Smith            29    2    4    0    1   0  0   0    0   0    2  .250  .250  .250   0   0   0   0   0   0   0   27
 ARI Donnie Sadler          32    1    1    0    0   0  0   0    0   0    0  .000  .000  .000   0   0   0   0   0   0   0 -100
 ARI Livan Hernandez        32   33   75    9   16   1  0   1    5   0    7  .213  .211  .267   0   0   3   0   3   1   0   20
 ARI Brandon Webb           28   32   73    1    6   2  0   0    3   1   31  .082  .095  .110   0   0   3   0   8   0   0  -48
 ARI Micah Owings           24   34   60    9   20   7  1   4   15   2   16  .333  .349  .683   0   0   0   0   1   1   0  153
 ARI Doug Davis             31   32   58    3    4   0  0   0    1   1   21  .069  .085  .069   0   0   0   0   9   0   0  -60
