temp	IPI	transmitter
8	25.48	172.293
8	25.43	172.293
8	25.59	172.293
8	25.63	172.293
8	25.59	172.293
14	24.64	172.293
14	24.45	172.293
14	24.48	172.293
14	24.65	172.293
14	24.56	172.293
22	22.35	172.293
22	22.47	172.293
22	22.4	172.293
22	22.39	172.293
26	21	172.293
26	21.08	172.293
26	21.03	172.293
26	21.07	172.293
30	19.54	172.293
30	19.45	172.293
30	19.46	172.293
30	19.57	172.293
35	17.46	172.293
35	17.36	172.293
35	17.5	172.293
35	17.42	172.293
35	17.5	172.293
40	15.26	172.293
40	15.15	172.293
40	15.21	172.293
40	15.29	172.293
5.8	24.67	172.482
10.6	24.21	172.482
18.8	22.99	172.482
22.8	21.72	172.482
23.4	21.78	172.482
27.8	20.51	172.482
34.2	18.29	172.482
38.6	16.41	172.482
5.8	20.67	172.489
11.4	20.2	172.489
15.8	19.76	172.489
23.6	18.62	172.489
27.8	17.81	172.489
35.5	16.17	172.489
38.4	15.14	172.489
5.8	20.67	172.511
12.8	20.15	172.511
16.1	19.73	172.511
23.8	18.68	172.511
27.8	17.88	172.511
34.5	16.36	172.511
38	15.32	172.511
5.8	24.61	172.463
9.8	24	172.463
16.6	22.63	172.463
23.8	21.02	172.463
27.8	20.04	172.463
34.2	17.94	172.463
37.8	16.57	172.463
5.8	23.12	172.442
10.6	22.67	172.442
17.8	21.76	172.442
22.8	20.71	172.442
27.8	19.36	172.442
34.2	17.34	172.442
37.6	16.1	172.442
9.2	20.86	172.502
9.2	20.79	172.502
9.2	20.59	172.502
9.2	20.89	172.502
9.2	20.88	172.502
15.5	19.99	172.502
15.5	20.1	172.502
15.5	20.08	172.502
15.5	20.09	172.502
20.5	19.54	172.502
20.5	19.55	172.502
20.5	19.36	172.502
20.5	19.36	172.502
20.5	19.33	172.502
31.4	17.53	172.502
31.4	17.53	172.502
31.4	17.55	172.502
36.2	16.15	172.502
36.2	16.28	172.502
36.2	16.22	172.502
36.2	16.2	172.502
39.5	15.28	172.502
39.5	15.28	172.502
39.5	15.25	172.502
