Day,WeekDay,Direction,LeaveTime,LeaveMileage,ArrTime,ArrMileage,Events,LeaveMin,ArrMin,time,miles,speed
2007/08/26,Sun,Work,11:33,146755.5,12:33,146802.5,Gas, 693, 753,  60,47.0, 47.000000
2007/08/26,Sun,Home,15:53,146803.0,16:50,146850.4,, 953,1010,  57,47.4, 49.894737
2007/08/27,Mon,Work, 6:26,146850.4, 7:28,146897.0,Schoolbus, 386, 448,  62,46.6, 45.096774
2007/08/27,Mon,Home,18:07,146897.3,19:04,146944.5,,1087,1144,  57,47.2, 49.684211
2007/08/28,Tue,Work, 8:50,146944.5, 9:49,146991.2,Roadwork, 530, 589,  59,46.7, 47.491525
2007/08/28,Tue,Home,16:54,146992.0,17:56,147040.4,I64ExitClosed,1014,1076,  62,48.4, 46.838710
2007/08/29,Wed,Work, 9:10,147048.7,10:10,147095.4,Gas Roadwork, 550, 610,  60,46.7, 46.700000
2007/08/29,Wed,Home,18:11,147109.5,19:10,147156.9,,1091,1150,  59,47.4, 48.203390
2007/08/31,Fri,Work, 9:04,147175.4, 9:59,147222.5,, 544, 599,  55,47.1, 51.381818
2007/08/31,Fri,Home,17:56,147239.7,18:54,147287.0,,1076,1134,  58,47.3, 48.931034
2007/09/03,Mon,Work, 7:36,147295.7, 8:30,147342.3,, 456, 510,  54,46.6, 51.777778
2007/09/03,Mon,Home,16:32,147342.5,17:28,147389.9,, 992,1048,  56,47.4, 50.785714
2007/09/04,Tue,Work, 7:28,147389.9, 8:55,147446.1,Gas CameBack Roadwork, 448, 535,  87,56.2, 38.758621
2007/09/04,Tue,Home,21:44,147446.1,22:46,147494.5,I64ExitClosed,1304,1366,  62,48.4, 46.838710
2007/09/05,Wed,Work, 8:55,147494.5, 9:53,147541.1,Traffic, 535, 593,  58,46.6, 48.206897
2007/09/05,Wed,Home,17:46,147541.3,18:41,147588.7,,1066,1121,  55,47.4, 51.709091
2007/09/06,Thu,Work, 8:28,147588.7, 9:22,147635.4,Traffic, 508, 562,  54,46.7, 51.888889
2007/09/06,Thu,Home,17:20,147635.4,18:14,147682.6,,1040,1094,  54,47.2, 52.444444
2007/09/07,Fri,Work, 8:10,147687.3, 9:09,147734.1,Gas, 490, 549,  59,46.8, 47.593220
2007/09/07,Fri,Home,20:21,147744.8,23:28,147800.6,FromNancy,1221,1408, 187,55.8, 17.903743
2007/09/10,Mon,Work, 8:00,147814.0, 8:53,147860.6,, 480, 533,  53,46.6, 52.754717
2007/09/10,Mon,Home,18:12,147860.6,19:18,147913.0,I64Accident LongDetour,1092,1158,  66,52.4, 47.636364
2007/09/11,Tue,Work, 8:19,147913.0, 9:14,147959.6,Traffic, 499, 554,  55,46.6, 50.836364
2007/09/11,Tue,Home,19:48,147959.6,20:41,148006.8,,1188,1241,  53,47.2, 53.433962
2007/09/12,Wed,Work, 8:58,148006.8, 9:57,148053.5,, 538, 597,  59,46.7, 47.491525
2007/09/12,Wed,Home,21:14,148053.7,22:06,148101.2,,1274,1326,  52,47.5, 54.807692
2007/09/13,Thu,Work, 8:58,148101.2, 9:53,148147.9,, 538, 593,  55,46.7, 50.945455
2007/09/13,Thu,Home,18:53,148147.9,19:42,148196.4,I64ExitClosed,1133,1182,  49,48.5, 59.387755
2007/09/14,Fri,Work, 8:11,148196.4, 9:04,148243.0,, 491, 544,  53,46.6, 52.754717
2007/09/14,Fri,Home,19:48,148243.0, 8:41,148290.2,,1188, 521,-667,47.2, -4.245877
2007/09/16,Sun,Work, 8:02,148298.4, 8:58,148345.1,Gas NozzleStuck, 482, 538,  56,46.7, 50.035714
2007/09/16,Sun,Home,11:12,148345.1,12:04,148392.3,, 672, 724,  52,47.2, 54.461538
2007/09/17,Mon,Work, 7:25,148398.3, 8:21,148445.0,Roadwork, 445, 501,  56,46.7, 50.035714
2007/09/17,Mon,Home,18:43,148445.0,19:37,148492.2,,1123,1177,  54,47.2, 52.444444
2007/09/18,Tue,Work, 7:53,148492.2, 8:57,148538.9,Roadwork (2), 473, 537,  64,46.7, 43.781250
2007/09/18,Tue,Home,19:26,148539.1,20:45,148586.5,Roadwork,1166,1245,  79,47.4, 36.000000
2007/09/19,Wed,Work, 6:50,148586.5, 7:49,148633.3,Gas, 410, 469,  59,46.8, 47.593220
2007/09/19,Wed,Home,17:35,148633.3,     ,148680.5,,1055,  NA,  NA,47.2,        NA
2007/09/21,Fri,Work, 6:55,148680.5, 7:49,148727.1,, 415, 469,  54,46.6, 51.777778
2007/09/21,Fri,Home,15:25,148727.1,16:21,148774.3,, 925, 981,  56,47.2, 50.571429
2007/09/24,Mon,Work, 8:14,148774.3, 9:06,148820.9,, 494, 546,  52,46.6, 53.769231
2007/09/24,Mon,Home,16:28,148820.9,17:21,148868.1,, 988,1041,  53,47.2, 53.433962
