	Hisp	Pop
AL	1.5	4.447
AK	3.6	0.627
AZ	21.3	5.131
AR	2.8	2.673
CA	28.1	33.872
CO	14.9	4.301
CT	8	3.406
DE	4	0.784
FL	16.1	15.982
GA	5	8.186
HI	5.7	1.212
ID	6.4	1.294
IL	10.7	12.419
IN	3.1	6.08
IA	2.3	2.926
KS	5.8	2.688
KY	1.3	4.042
LA	2.4	4.469
ME	0.6	1.275
MD	4	5.296
MA	5.6	6.349
MI	2.7	9.938
MN	2.4	4.919
MS	1.3	2.845
MO	1.8	5.595
MT	1.6	0.902
NB	4.5	1.711
NV	16.7	1.998
NH	1.4	1.236
NJ	12.3	8.414
NM	38.7	1.819
NY	13.8	18.976
NC	4.3	8.049
ND	1	0.642
OH	1.6	11.353
OK	4.3	3.451
OR	6.5	3.421
PA	2.6	12.281
RI	7	1.048
SC	2.2	4.012
SD	1.2	0.755
TN	2	5.689
TX	28.6	20.852
UT	8.1	2.233
VT	0.8	0.609
VA	4.2	7.079
WA	6	5.894
WV	0.6	1.808
WI	2.9	5.364
WY	5.5	0.494
