BeefCalories,BeefSodium,MeatCalories,MeatSodium,PoultryCalories,PoultrySodium
186,495,173,458,129,430
181,477,191,506,132,375
176,425,182,473,102,396
149,322,190,545,106,383
184,482,172,496,94,387
190,587,147,360,102,542
158,370,146,387,87,359
139,322,139,386,99,357
175,479,175,507,170,528
148,375,136,393,113,513
152,330,179,405,135,426
111,300,153,372,142,513
141,386,107,144,86,358
153,401,195,511,143,581
190,645,135,405,152,588
157,440,140,428,146,522
131,317,138,339,144,545
149,319
135,298
132,253
