section,gender,age,year,major,scndmajor,varsity,varHigh,greek,gHouse,gpa,gpaHigh,skip,nightsParty,job,extraCur,hoursExtra,studying,drink,daysDrink,drinkPerTime,drinkMT,drinkFS,extraHigh,extraAll,hwHigh,hw,iTunes,numSongs,genre1,genre2,sleep,relationship,lightSleep,sleepPattern,hwPerDay,politAss,incomeAfter,schoolAfter,religion,attendService,hoursText,religiousHousehold,continuePractice,spouseBeliefs,dominantHand,SAT,ACT
C,1,19,2,POL,-1,1,1,1,LambdaChiAlpha,3.1,3.98,4,1.5,0,1,3,10,4,1,0,0,4,12,6,2,10,1,-99,hardrock,rap,5,0,0,0,2.5,3,-99,3.5,Atheist,4,0,1,0,4,2,1930,-1
C,1,19,2,BIO,-1,1,1,0,-1,3.2,4.1,4,2,0,3,12,10,20,3,10,5,15,7,12,4,7,0,-1,rock,punk,7,0,0,1,1,2,50000,0,Catholic,2,4,1,1,4,2,1270,-1
C,1,19,2,BIO,CHE,1,1,0,-1,4,3.99,5,0.5,0,4,2,40,0,0,0,0,0,20,2.5,2,40,0,-1,christian,classical,6,1,0,1,5,1,100000,7,Baptist,1,6,1,1,1,2,-1,30
C,1,20,2,COM,-1,0,1,1,PhiGammaDelta,2.1,2.8,2,1,2,1,4,1,0,0,0,0,0,12,4,0,2,0,-1,rap,country,6,1,0,0,0.5,3,40000,0,Methodist,3,0,0,-1,4,2,-1,24
C,2,19,2,PSY,-1,0,0,1,KappaAlphaTheta,2.89,3.49,4,2,0,0,4,30,2,2,4,1,5,6,4,10,30,1,1956,alternative,hiphop/rap,6,0,0,0,6,3,-1,2.5,Catholic,2,3,1,0,3,2,-1,28
C,1,19,2,-1,-1,1,1,0,-1,3,3.6,3,2,0,1,8,12,10,2,8,0,8,8,8,0,12,1,4000,indie,rock,7,0,1,1,1.5,5,100000,0,Christian,4,1,0,-1,2,2,1890,-1
C,1,20,3,ARTH,-1,0,1,1,SigmaChi,2.6,3.8,3,2,2,2,5,15,3,2,2,1,2,10,6,5,15,1,4000,rock,alternative,6,1,1,0,2,5,30000,2,Nondenominational,3,2,0,-1,4,2,1150,28
C,2,20,3,PSY,-1,0,1,1,PhiMu,2.8,3.8,4,3,2,1,0,25,20,3,9,5,15,5,0,20,25,1,3000,rock,alternative,6,0,0,1,3,2,40000,2,Atheist,4,0,1,0,4,2,1170,-1
C,2,21,4,BUS,-1,0,0,1,ChiOmega,3.46,3.89,4,3,0,2,2.5,5,6,3,4,3,6,1,3,2,3,0,-1,country,rap,7,1,1,1,2,2,37500,0,Catholic,4,0,0,-1,4,2,-1,25
C,1,19,2,ENG,-1,0,0,1,LambdaChiAlpha,3.4,3.7,3,1,2,3,10,12,8,2,7,1,7,6,10,5,12,1,2000,alternative rock,indie,7,0,1,0,3,3,35000,2,Agnostic,3,0,1,0,4,2,1710,-1
C,2,19,2,PSY,-1,0,1,1,KappaAlphaTheta,3.1,3.5,5,2,0,2,3,12,9,2,6,0,10,8,3,5,12,1,600,pop,country,7,1,1,1,2,2,60000,2,Methodist,2,0.5,1,1,4,2,-1,25
C,1,20,2,SOC,-1,1,1,1,LambdaChiAlpha,2.4,3.6,4,2,0,2,15,15,25,2.5,15,1.5,25,17.5,17.5,6,11,1,200,rap,country,7,0,0,1,2,4,30000,4,Catholic,3,1.5,0,1,3,2,1600,-1
C,1,20,3,MAT,PHY,0,1,0,-1,3.45,3.8,4,1,2,0,0,50,3,1,3,0,3,3,0,30,40,1,4000,classic rock,-1,5.5,1,0,0,8,3,50000,6,Hinduist,4,0,1,1,3,2,1410,-1
C,2,19,2,BIO,-1,0,1,0,-1,3.65,4,5,0,2,4,10,40,0,0,0,0,0,12,10,10,40,1,900,rock,christian,7,0,1,1,6,3,50000,6,DiscipleOfChrist,1,2,1,1,1,2,-1,31
C,2,21,3,HIS,-1,0,0,0,-1,3,3.35,4,2,2,0,0,25,10,4,2,2,9,0,0,40,27.5,1,900,oldies,-1,7,1,0,1,6.5,4,50000,3.5,Agnostic,4,0,0,-1,4,2,1050,-1
C,2,20,3,SOC,-1,0,1,0,-1,2.4,3.9,3,1.5,1,0,0,1.5,42.5,7,6,37.5,25,8.5,0,1.5,1.5,1,-1,hardcore,indie,6,0,0,0,0.5,5,75000,8,-1,4,0,0,0,4,2,1100,-1
D,2,19,2,HIS,ENG,0,0,1,AlphaDeltaPi,2.7,3.6,3,0,2,0,2,17.5,0,0,2.5,0,1,15,2,2,17.5,1,2500,country,rock/alternative,5,0,0,1,4,3,70000,-1,Nondenominational,3,1,0,0,3,1,1190,-1
D,2,19,2,EXS,PSY,1,1,0,-1,2.5,3.9,4,0,2,-99,17.5,10,0,0,1,0,0,17.5,17.5,10,16.5,1,700,country,rock,6.5,1,-99,1,2.5,2,55000,2,Methodist,2,2.5,1,1,2,2,-1,21
D,1,19,2,COM,-1,1,1,0,-1,2.4,3.5,4,2,0,2,13,8,10,3,10,2,20,10,13,3,8,1,2000,alternative,rap,8.5,0,0,1,1.5,4,100000,4,-1,2,1,1,1,3,2,-1,30
D,1,19,2,COM,-1,1,1,1,PhiDeltaTheta,2.1,3.25,4,2,0,1,16,8,25,4,8,10,15,12,20,2,10,1,4500,country,rap,8,0,0,1,1.5,2,80000,2,-1,4,0,0,-1,4,2,-1,-1
D,1,21,4,GEO,-1,1,1,1,PhiDeltaTheta,2.7,3.0,4,1,0,2,14,14,15,3,5,5,10,10,14,2,14,0,-1,country,-1,8,1,0,1,2,2,60000,0,Lutheran,2,1,1,1,1,2,-1,28
D,1,19,2,ENG,-1,1,1,1,PhiDeltaTheta,3.3,3.7,3,3,0,2,20,10,25,5,10,12,30,15,20,7,14,1,3000,rock,country,6,1,1,0,2,3,50000,2,Agnostic,3,0,1,0,4,2,-1,27
D,2,20,3,EXS,-1,0,1,1,PhiMu,3.58,4.0,3,2,2,1,30,30,8,2,5,3,7,15,30,25,30,1,3000,country,rock,6,0,0,0,6,3,45000,3.5,Lutheran,2,2,1,1,2,2,1240,-1
D,2,19,2,PSY,EDU,0,1,1,KappaAlphaTheta,3,3.2,3,2,0,2,10,20,14,2,7,0,14,20,10,10,20,1,2500,country,pop,6,1,0,1,4,2,45000,2,Christian,2,1,1,1,3,2,-1,-1
D,1,20,3,CHE,-1,0,1,0,-1,3.2,4.1,4,0,2,6,10,13,0,0,4.5,0,0,6,10,16,13,1,7360,classical,metal,7,1,0,0,2.5,3,60000,4,Catholic,-99,2,1,1,3,2,1490,-1
