Country	Year	gold	silver	bronze
USA	2008	36	38	36
China	2008	51	21	28
Russia	2008	23	21	28
Britain	2008	19	13	15
Australia	2008	14	15	17
Germany	2008	16	10	15
USA	2004	36	39	27
China	2004	32	17	14
Russia	2004	27	27	38
Britain	2004	9	9	12
Australia	2004	17	16	16
Germany	2004	13	16	20
USA	2000	36	24	31
China	2000	28	16	15
Russia	2000	32	28	28
Britain	2000	11	10	7
Australia	2000	16	25	17
Germany	2000	13	17	26
USA	1996	44	32	25
Germany	1996	20	18	27
Russia	1996	26	21	16
China	1996	16	22	12
Australia	1996	9	9	23
Britain	1996	1	8	6
