State	Dem1980	Dem1984
AL	48.7	38.7
AK	30.1	30.9
AZ	28.9	32.9
AR	48.3	38.8
CA	36.9	41.8
CO	32	35.6
CT	39	39
DE	45.3	40
FL	38.8	34.7
GA	56.3	39.8
HI	45.6	44.3
ID	25.7	26.7
IL	42.3	43.5
IN	38.2	37.9
IA	39.1	46.3
KS	33.9	33
KY	48.1	39.7
LA	46.4	38.6
ME	43.1	38.9
MD	47.6	47.2
MA	42.3	48.6
MI	43.1	40.4
MN	47.7	50.1
MS	48.6	37.7
MO	44.7	40
MT	33.3	38.7
NE	26.4	29
NV	27.9	32.7
NH	28.6	31.1
NJ	39.2	39.5
NM	37.5	39.7
NY	44.8	46
NC	47.5	38
ND	26.7	34.3
OH	35.5	40.5
OK	35.4	31
OR	40.1	43.9
PA	43.1	46.3
RI	48.1	48.2
SC	48.6	35.9
SD	32.1	36.7
TN	48.7	41.8
TX	41.8	36.2
UT	20.9	24.9
VT	39.3	41.3
VA	40.9	37.3
WA	38.2	43.2
WV	50.1	44.7
WI	44	45.4
WY	28.7	28.6
